Process Date,Process ID,ProcessDate_ProcessID,Analysis,Artifact name,Concentration,Fragment length
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0177-CTG,7.07,407
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0195,1.17,389
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0198,0.634,398
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0199,12.6,397
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0196,6.27,411
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0197,1.92,458
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0200,17.1,440
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,11015-19,3.69,415
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,31-20,3.14,401
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,5-20,3.93,410
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,12223-19,11,414
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,23-20,18.1,414
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,12175-19,6.35,391
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0177-CTG,7.07,407
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0195,1.17,389
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0198,0.634,398
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0199,12.6,397
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0196,6.27,411
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0197,1.92,458
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0200,17.1,440
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,11015-19,3.69,415
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,31-20,3.14,401
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,5-20,3.93,410
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,12223-19,11,414
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,23-20,18.1,414
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,12175-19,6.35,391
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0177-CTG,7.07,407
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0195,1.17,389
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0198,0.634,398
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0199,12.6,397
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0196,6.27,411
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0197,1.92,458
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0200,17.1,440
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,11015-19,3.69,415
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,31-20,3.14,401
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,5-20,3.93,410
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,12223-19,11,414
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,23-20,18.1,414
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,12175-19,6.35,391
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0177-CTG,7.07,407
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0195,1.17,389
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0198,0.634,398
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0199,12.6,397
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0196,6.27,411
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0197,1.92,458
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0200,17.1,440
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,11015-19,3.69,415
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,31-20,3.14,401
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,5-20,3.93,410
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,12223-19,11,414
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,23-20,18.1,414
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,12175-19,6.35,391
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0177-CTG,7.07,407
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0195,1.17,389
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0198,0.634,398
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0199,12.6,397
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0196,6.27,411
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0197,1.92,458
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0200,17.1,440
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,11015-19,3.69,415
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,31-20,3.14,401
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,5-20,3.93,410
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,12223-19,11,414
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,23-20,18.1,414
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,12175-19,6.35,391
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0177-CTG,7.07,407
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0195,1.17,389
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0198,0.634,398
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0199,12.6,397
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0196,6.27,411
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0197,1.92,458
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Bladder,19KFU0200,17.1,440
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,11015-19,3.69,415
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,31-20,3.14,401
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,5-20,3.93,410
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,12223-19,11,414
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,23-20,18.1,414
2020-01-09,24-75019,2020-01-09_24-75019,TruSeq Stranded mRNA - Fusion,12175-19,6.35,391
2020-01-15,24-76028,2020-01-15_24-76028,TruSeq Stranded mRNA - Fusion,91-20,2.01,393
2020-01-29,24-78210,2020-01-29_24-78210,TruSeq Stranded mRNA - Fusion,261-20,4.72,418
2020-01-29,24-78210,2020-01-29_24-78210,TruSeq Stranded mRNA - Fusion,553-20,6.84,394
2020-01-29,24-78210,2020-01-29_24-78210,TruSeq Stranded mRNA - Fusion,657-20,10.5,411
2020-01-29,24-78210,2020-01-29_24-78210,TruSeq Stranded mRNA - Fusion,261-20,4.72,418
2020-01-29,24-78210,2020-01-29_24-78210,TruSeq Stranded mRNA - Fusion,553-20,6.84,394
2020-01-29,24-78210,2020-01-29_24-78210,TruSeq Stranded mRNA - Fusion,657-20,10.5,411
2020-01-29,24-78210,2020-01-29_24-78210,TruSeq Stranded mRNA - Fusion,261-20,4.72,418
2020-01-29,24-78210,2020-01-29_24-78210,TruSeq Stranded mRNA - Fusion,553-20,6.84,394
2020-01-29,24-78210,2020-01-29_24-78210,TruSeq Stranded mRNA - Fusion,657-20,10.5,411
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Fusion,144-20,0.865,N/A
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0003,6.7,390
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0004,2.05,408
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,19KFU0201,1.47,412
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0002,2.65,423
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Fusion,724-20,1.91,388
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0038,2.71,392
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0007,2.31,405
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Fusion,144-20,0.865,N/A
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0003,6.7,390
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0004,2.05,408
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,19KFU0201,1.47,412
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0002,2.65,423
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Fusion,724-20,1.91,388
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0038,2.71,392
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0007,2.31,405
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Fusion,144-20,0.865,N/A
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0003,6.7,390
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0004,2.05,408
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,19KFU0201,1.47,412
2020-02-05,24-79053,2020-02-05_24-79053,TruSeq Stranded mRNA - Bladder,20KFU0002,2.65,423
