Process Date,Process ID,Artifact name,Library concentration (nM),Size (bp)
2019-12-02,24-68761,TRAPC1,0.26972097046723176,453
2019-11-25,24-70599,5732-19,9.12305004770883,555
2019-11-25,24-70599,5741-19,10.061651213368922,547
2019-11-25,24-70599,5742-19,9.767311729454345,541
2019-11-25,24-70599,5766-19,12.703192020254347,552
2019-11-25,24-70599,5767-19,11.322282319004007,549
2019-11-25,24-70599,5810-19,11.368031187022858,560
2019-11-25,24-70599,5811-19,10.359550153427106,546
2019-11-25,24-70599,5812-19,10.916991474340715,560
2019-11-25,24-70599,6538-19,10.824963861773286,554
2019-11-25,24-70599,6539-19,10.395434229044524,566
2019-11-25,24-70599,6540-19,11.582639988106239,561
2019-11-25,24-70599,8355-19,5.83882348422349,550
2019-11-25,24-70599,4966-19,8.934465246543327,547
2019-11-25,24-70599,5355-19,9.082615343092007,563
2019-11-25,24-70599,5438-19,10.044425562581159,552
2019-11-25,24-70599,5526-19,8.42494592809374,559
2019-11-25,24-70599,5527-19,10.791331781794652,561
2019-11-25,24-70599,5528-19,12.469830496968873,559
2019-11-25,24-70599,5727-19,11.408293282559857,553
2019-11-25,24-70599,5730-19,11.40151200465309,550
2019-11-29,24-71234,TRAPC1,0.22069691228789112,551
2019-11-29,24-71234,9497-19,5.852227103581727,567
2019-11-29,24-71234,9550-19,5.790200177572921,551
2019-11-29,24-71234,9635-19,6.60130860907949,549
2019-11-29,24-71234,9641-19,4.510063778391064,564
2019-11-29,24-71234,9655-19,7.399667008642097,553
2019-11-29,24-71234,9698-19,7.942621032858773,554
2019-11-29,24-71234,9768-19,6.494832693333111,540
2019-11-29,24-71234,9758-19,6.157713782745324,556
2019-11-29,24-71234,9696-19,6.971379218069929,556
2019-11-29,24-71234,9823-19,7.313338068688958,567
2019-11-29,24-71234,9806-19,9.430320690442143,560
2019-11-29,24-71234,10028-19,7.122006748042947,543
2019-11-29,24-71234,10084-19,8.021283984903912,537
2019-11-29,24-71234,10095-19,7.263739482737491,558
2019-11-29,24-71234,10111-19,6.501638680056001,565
2019-11-29,24-71234,10155-19,6.72662771552493,568
2019-11-29,24-71234,10191-19,6.0061695737845096,550
2019-11-29,24-71234,10217-19,5.6119870513784225,558
2019-11-29,24-71234,10213-19,6.853641989678812,572
2019-11-29,24-71234,10256-19,4.767981980200706,567
2019-11-29,24-71234,10238-19,7.636922748728001,565
2019-11-29,24-71234,10385-19,7.622650048121997,581
2019-11-29,24-71234,10386-19,7.242659303790108,550
2020-02-10,24-73778,3858-15,7.847113125912683,503
2020-02-10,24-73778,3860-15,13.506307910751968,508
2020-02-10,24-73778,5464-19,11.975660425400001,500
2020-02-10,24-73778,4065-19,17.989214837718166,501
2020-02-10,24-73778,6596-19,14.987671038041453,550
2020-02-10,24-73778,6597-19,17.115358727608395,524
2020-02-10,24-73778,9900-19,11.822288464341668,528
2020-02-10,24-73778,10931-19,12.874163578723563,539
2020-02-10,24-73778,10974-19,10.880838271784775,578
2020-02-10,24-73778,10903-19,11.582993754201379,580
2020-02-10,24-73778,10904-19,11.559210840173355,593
2020-02-10,24-73778,10837-19,11.077253997922389,603
2020-02-10,24-73778,10888-19,13.423465979171052,608
2020-02-10,24-73778,10844-19,8.53638490256138,580
2020-02-10,24-73778,10848-19,8.910021639494316,598
2020-02-10,24-73778,10777-19,11.416316483107156,573
2020-02-10,24-73778,10734-19,12.196705647345054,637
2020-02-10,24-73778,10486-19,9.786523380799999,647
2020-02-10,24-73778,10477-19,7.27274522239645,676
2020-02-10,24-73778,10439-19,7.810879874073305,693
2020-02-10,24-73778,10442-19,7.100695283851312,686
2020-02-10,24-73778,10425-19,9.16127527062781,676
2020-02-10,24-73778,10440-19,12.543826750595255,590
2020-02-10,24-73778,3859-15,14.170391427773723,548
2020-02-10,24-73857,6642-19,16.285961750105606,553
2020-02-10,24-73857,6643-19,6.833852072008117,547
2020-02-10,24-73857,6644-19,13.757901568725227,551
2020-02-10,24-73857,1333-19,17.86060967963253,541
2020-02-10,24-73857,1334-19,18.15322461200456,526
2020-02-10,24-73857,4650-19,8.446130507717037,540
2020-02-10,24-73857,4025-19,6.2388467871324575,533
2020-02-10,24-73857,4026-19,7.704567033046411,549
2020-02-10,24-73857,6913-19,13.040963199242883,541
2020-02-10,24-73857,6774-19,11.700009582906667,540
2020-02-10,24-73857,6775-19,10.076034084822515,533
2020-02-10,24-73857,7111-19,7.837217797390192,522
2020-02-10,24-73857,7112-19,7.36814547332812,532
2020-02-10,24-73857,7113-19,9.815111604189209,556
2020-02-10,24-73857,4081-19,6.031863362424766,533
2020-02-10,24-73857,4082-19,8.306183427775132,534
2020-02-10,24-73857,4083-19,6.0673303238057255,538
2020-02-10,24-73857,6064-19,9.2379480539658,538
2020-02-10,24-73857,6065-19,8.621688190112433,555
2020-02-10,24-73857,6082-19,5.527826323230865,543
2020-02-10,24-73857,4122-19,7.499658818011713,543
2020-02-10,24-73857,4321-19,7.233577792891052,532
2020-02-10,24-73857,4322-19,6.437195451082698,519
2020-02-10,24-73857,6760-19,29.099167779847658,533
2020-01-29,24-75355,10676-19,12.464598514199631,541
2020-01-29,24-75355,11090-19,10.034452172201801,555
2020-01-29,24-75355,11091-19,13.13440366817705,549
2020-01-29,24-75355,11166-19,10.307440128000001,565
2020-01-29,24-75355,3816-19,9.702030970774377,562
2020-01-29,24-75355,3892-19,7.825805772510073,552
2020-01-29,24-75355,3893-19,4.913392321582326,559
2020-01-29,24-75355,9339-19,13.453771839443124,589
2020-01-29,24-75355,9340-19,11.962438227043936,569
2020-01-29,24-75355,9837-19,11.503347818951674,567
2020-01-29,24-75355,9838-19,15.093842231480286,558
2020-01-29,24-75355,9839-19,12.585864113072027,572
2020-01-29,24-75355,5982-19,13.845109774116935,561
2020-01-29,24-75355,6367-19,9.825609924946448,549
2020-01-29,24-75355,6369-19,9.085552615618441,564
2020-01-29,24-75355,6371-19,10.501928512025783,543
2020-01-29,24-75355,6373-19,10.31642628869418,567
2020-01-29,24-75355,6374-19,3.5221013110073187,552
2020-01-29,24-75355,6375-19,3.571936807,565
2020-01-29,24-75355,6402-19,4.068780501912798,572
2020-01-29,24-75355,6454-19,4.597811202718809,571
2020-01-29,24-75355,6455-19,5.568645028265089,558
2020-01-29,24-75355,6583-19,5.873030293104,550
2020-01-29,24-75355,6584-19,2.9902266557554515,554
2020-01-29,24-75361,5667-19,17.901549422130742,566
2020-01-29,24-75361,5963-19,14.187955271840423,569
2020-01-29,24-75361,5964-19,14.439160357340365,550
2020-01-29,24-75361,6017-19,15.612786235875,544
2020-01-29,24-75361,6018-19,7.990421854623824,544
2020-01-29,24-75361,5668-19,11.91545014859378,611
2020-01-29,24-75361,6020-19,8.387526012065933,546
2020-01-29,24-75361,7566-19,3.523801180342425,569
2020-01-29,24-75361,7565-19,8.497655196582938,551
2020-01-29,24-75361,7449-19,5.902868163368275,551
2020-01-29,24-75361,7448-19,5.059695996324723,559
2020-01-29,24-75361,7378-19,3.872961188740262,535
2020-01-29,24-75361,6496-19,8.358619349205537,578
2020-01-29,24-75361,6495-19,6.867798010513381,568
2020-01-29,24-75361,6494-19,6.823480817531564,550
2020-01-29,24-75361,6344-19,4.565982483353711,566
2020-01-29,24-75361,6343-19,10.83581768253617,564
2020-01-29,24-75361,6342-19,13.479310149319927,557
2020-01-29,24-75361,7276-17,8.070508838816428,543
2020-01-29,24-75361,7489-19,11.229988354409596,542
2020-01-29,24-75361,7488-19,9.130985732298686,533
2020-01-29,24-75361,7299-19,14.352971798106763,547
2020-01-29,24-75361,6697-19,15.604239512133576,554
2020-01-29,24-75361,6696-19,15.983686931927009,548
2020-01-29,24-75361,6694-19,13.757636162539779,538
2020-03-11,24-78206,5963-19,11.464482836938489,569
2020-03-11,24-78206,6020-19,7.184616385549596,546
2020-03-11,24-78206,10676-19,10.80681235963549,541
2020-03-11,24-78206,11090-19,10.730353508899459,555
2020-03-11,24-78206,11166-19,9.2274122908,565
2020-03-11,24-78206,9839-19,11.57310579991958,572
2020-03-11,24-78206,7565-19,8.705656980609799,551
2020-03-11,24-78206,6342-19,11.244847131467864,557
2020-03-11,24-78206,7276-17,7.121930169961547,543
2020-03-11,24-78206,7489-19,10.841861981354244,542
2020-03-11,24-78206,7488-19,8.431482729522926,533
2020-03-11,24-78206,7299-19,10.919831921393051,547
2020-03-11,24-78206,6696-19,11.418468398359853,548
2020-03-11,24-78206,11026-19,7.424977314696335,524
2020-03-11,24-78206,11108-19,8.867263813288638,528
2020-03-11,24-78206,11109-19,8.30981682368119,538
2020-03-11,24-78206,6585-19,7.6529673397196145,519
2020-03-11,24-78206,6586-19,8.365736377620754,530
2020-03-11,24-78206,6587-19,14.164724798522007,518
2020-03-11,24-78206,11003-19,11.997594911181505,519
2020-03-11,24-78206,11173-19,11.572044102452372,527
2020-03-11,24-78206,10239-19,9.48626320169398,515
2020-03-11,24-78206,10240-19,12.086210103420408,539
2020-03-11,24-78206,9825-19,12.891049669751832,519
2020-03-11,24-79436,5490-19,13.837821936645089,519
2020-03-11,24-79436,5491-19,15.200407664592998,514
2020-03-11,24-79436,5492-19,16.420604814820454,528
2020-03-11,24-79436,8635-19,9.292613270626457,514
