Analysis,Classification,Date received,Workflow started (date),Progress,Workflow finished (date),Department,Species,Sequencing runs,Desired read count,Sample concentration (ng/ul),Library concentration (ng/ul),Library concentration (date)
Microbiology WGS Nextera XT,Rutinprov,2020-01-03,2020-01-03,Sequencing and Data Analysis Complete,2020-01-07,Klinisk Mikrobiologi,saureus,1,2100000,1.8,5.53,2020-01-03
Microbiology WGS Nextera XT,Rutinprov,2020-01-03,2020-01-03,Sequencing and Data Analysis Complete,2020-01-07,Klinisk Mikrobiologi,saureus,1,2100000,3.07,5.8,2020-01-03
Microbiology WGS Nextera XT,Rutinprov,2020-01-13,2020-01-13,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,27.9,5.27,2020-01-14
Microbiology WGS Nextera XT,Rutinprov,2020-11-17,2020-11-17,Sequencing and Data Analysis Complete,2020-11-20,Klinisk Mikrobiologi,saureus,1,2100000,18.5,6.97,2020-11-18
Microbiology WGS Nextera XT,Rutinprov,2020-11-17,2020-11-17,Sequencing and Data Analysis Complete,2020-11-20,Klinisk Mikrobiologi,saureus,1,2100000,6.73,5.6,2020-11-18
Microbiology WGS Nextera XT,Rutinprov,2020-11-17,2020-11-17,Sequencing and Data Analysis Complete,2020-11-20,Klinisk Mikrobiologi,saureus,1,2100000,9.76,5.74,2020-11-18
Microbiology WGS Nextera XT,Rutinprov,2020-11-17,2020-11-17,Sequencing and Data Analysis Complete,2020-11-20,Klinisk Mikrobiologi,saureus,1,2100000,7.67,5.91,2020-11-18
Microbiology WGS Nextera XT,Rutinprov,2020-11-17,2020-11-17,Sequencing and Data Analysis Complete,2020-11-20,Klinisk Mikrobiologi,saureus,1,2100000,6.95,6.6,2020-11-18
Microbiology WGS Nextera XT,Rutinprov,2020-11-17,2020-11-17,Sequencing and Data Analysis Complete,2020-11-20,Klinisk Mikrobiologi,saureus,1,2100000,13.3,5.69,2020-11-18
Microbiology WGS Nextera XT,Rutinprov,2020-11-17,2020-11-17,Sequencing and Data Analysis Complete,2020-11-20,Klinisk Mikrobiologi,saureus,1,2100000,8.75,6.13,2020-11-18
Microbiology WGS Nextera XT,Rutinprov,2020-11-17,2020-11-17,Sequencing and Data Analysis Complete,2020-11-20,Klinisk Mikrobiologi,saureus,1,2100000,13.4,6.47,2020-11-18
Microbiology WGS Nextera XT,Rutinprov,2020-11-17,2020-11-17,Sequencing and Data Analysis Complete,2020-11-20,Klinisk Mikrobiologi,saureus,1,2100000,13.5,6.2,2020-11-18
Microbiology WGS Nextera XT,Rutinprov,2020-11-17,2020-11-17,Sequencing and Data Analysis Complete,2020-11-20,Klinisk Mikrobiologi,saureus,1,2100000,10.3,6.8,2020-11-18
Microbiology WGS Nextera XT,Rutinprov,2020-01-13,2020-01-13,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,10.8,5.64,2020-01-14
Microbiology WGS Nextera XT,Rutinprov,2020-11-25,2020-11-25,Sequencing and Data Analysis Complete,2020-11-27,Klinisk Mikrobiologi,saureus,1,2100000,6.91,4.91,2020-11-25
Microbiology WGS Nextera XT,Rutinprov,2020-11-25,2020-11-25,Sequencing and Data Analysis Complete,2020-11-27,Klinisk Mikrobiologi,saureus,1,2100000,7.63,5.42,2020-11-25
Microbiology WGS Nextera XT,Rutinprov,2020-11-25,2020-11-25,Sequencing and Data Analysis Complete,2020-11-27,Klinisk Mikrobiologi,saureus,1,2100000,6.91,4.94,2020-11-25
Microbiology WGS Nextera XT,Rutinprov,2020-11-25,2020-11-25,Sequencing and Data Analysis Complete,2020-11-27,Klinisk Mikrobiologi,saureus,1,2100000,6.52,4.71,2020-11-25
Microbiology WGS Nextera XT,Rutinprov,2020-11-25,2020-11-25,Sequencing and Data Analysis Complete,2020-11-27,Klinisk Mikrobiologi,saureus,1,2100000,5.17,5.67,2020-11-25
Microbiology WGS Nextera XT,Rutinprov,2020-11-25,2020-11-25,Sequencing and Data Analysis Complete,2020-11-27,Klinisk Mikrobiologi,saureus,1,2100000,6.64,5.09,2020-11-25
Microbiology WGS Nextera XT,Rutinprov,2020-11-25,2020-11-25,Sequencing and Data Analysis Complete,2020-11-27,Klinisk Mikrobiologi,saureus,1,2100000,4.09,4.31,2020-11-25
Microbiology WGS Nextera XT,Rutinprov,2020-11-25,2020-11-25,Sequencing and Data Analysis Complete,2020-11-27,Klinisk Mikrobiologi,saureus,1,2100000,4.14,6.76,2020-11-25
Microbiology WGS Nextera XT,Rutinprov,2020-11-25,2020-11-25,Sequencing and Data Analysis Complete,2020-11-27,Klinisk Mikrobiologi,saureus,1,2100000,3.72,3.85,2020-11-25
Microbiology WGS Nextera XT,Rutinprov,2020-11-25,2020-11-25,Sequencing and Data Analysis Complete,2020-11-27,Klinisk Mikrobiologi,saureus,1,2100000,3.14,3.55,2020-11-25
Microbiology WGS Nextera XT,Rutinprov,2020-01-13,2020-01-13,Sequencing and Data Analysis Complete,2020-02-06,CTG - Bo Nilsson,sbovis,1,2000000,4.33,5.51,2020-01-14
Microbiology WGS Nextera XT,Rutinprov,2020-11-25,2020-11-25,Sequencing and Data Analysis Complete,2020-11-27,Klinisk Mikrobiologi,saureus,1,2100000,12.7,2.79,2020-11-25
Microbiology WGS Nextera XT,Rutinprov,2020-12-02,2020-12-02,Sequencing and Data Analysis Complete,2020-12-04,Klinisk Mikrobiologi,saureus,1,2100000,6.42,5.95,2020-12-02
Microbiology WGS Nextera XT,Rutinprov,2020-12-02,2020-12-02,Sequencing and Data Analysis Complete,2020-12-04,Klinisk Mikrobiologi,saureus,1,2100000,6.91,6.66,2020-12-02
Microbiology WGS Nextera XT,Rutinprov,2020-12-02,2020-12-02,Sequencing and Data Analysis Complete,2020-12-04,Klinisk Mikrobiologi,saureus,1,2100000,3.74,6.2,2020-12-02
Microbiology WGS Nextera XT,Rutinprov,2020-12-02,2020-12-02,Sequencing and Data Analysis Complete,2020-12-04,Klinisk Mikrobiologi,saureus,1,2100000,9.48,6.01,2020-12-02
Microbiology WGS Nextera XT,Rutinprov,2020-12-02,2020-12-02,Sequencing and Data Analysis Complete,2020-12-04,Klinisk Mikrobiologi,saureus,1,2100000,6.9,5.87,2020-12-02
