Process Date,Process ID,ProcessDate_ProcessID,Artifact type,Analysis,Artifact name,Concentration,Fragment length
2020-03-03,24-82434,2020-03-03_24-82434,analyte,Parad - GMSMyeloidv1.0,1552-20,40.8,552
2020-03-03,24-82434,2020-03-03_24-82434,analyte,Parad - GMSMyeloidv1.0,1663-20,36.8,534
2020-03-03,24-82434,2020-03-03_24-82434,analyte,Parad - GMSMyeloidv1.0,1664-20,43.8,556
2020-03-03,24-82434,2020-03-03_24-82434,analyte,Parad - GMSMyeloidv1.0,1712-20,34.1,561
2020-03-03,24-82434,2020-03-03_24-82434,analyte,Parad - GMSMyeloidv1.0,408-20,36.9,610
2020-03-03,24-82434,2020-03-03_24-82434,analyte,Parad - GMSMyeloidv1.0,422-20-v2,45.2,552
2020-03-03,24-82434,2020-03-03_24-82434,analyte,Parad - GMSMyeloidv1.0,11440-19,38.3,592
2020-03-03,24-82434,2020-03-03_24-82434,analyte,Parad - GMSMyeloidv1.0,1713-20,38.5,581
2020-03-03,24-82434,2020-03-03_24-82434,analyte,Parad - GMSMyeloidv1.0,1724-20,36.4,579
2020-03-03,24-82434,2020-03-03_24-82434,analyte,Oparad - KLL - GMSMyeloidv1.0,1849-20,33.4,641
2020-03-03,24-82434,2020-03-03_24-82434,analyte,Oparad - KLL - GMSMyeloidv1.0,1865-20,28.4,600
2020-03-03,24-82434,2020-03-03_24-82434,analyte,Oparad - MPN - GMSMyeloidv1.0,1521-20,43.6,574
2020-03-03,24-82434,2020-03-03_24-82434,analyte,Parad - GMSMyeloidv1.0,1527-20,44.1,584
2020-03-03,24-82434,2020-03-03_24-82434,analyte,Parad - GMSMyeloidv1.0,1684-20,48,594
2020-03-03,24-82434,2020-03-03_24-82434,analyte,Oparad - MPN - GMSMyeloidv1.0,1697-20,40,607
2020-03-03,24-82434,2020-03-03_24-82434,analyte,Oparad - MPN - GMSMyeloidv1.0,1710-20,45.6,598
2020-03-03,24-82434,2020-03-03_24-82434,analyte,Oparad - KLL - GMSMyeloidv1.0,1823-20,41,579
2020-03-03,24-82434,2020-03-03_24-82434,analyte,Parad - GMSMyeloidv1.0,1834-20,33.9,550
