Process Date,Process ID,ProcessDate_ProcessID,Artifact type,Analysis,Artifact name,Fragment length
2020-03-02,24-82323,2020-03-02_24-82323,analyte,Parad - GMSMyeloidv1.0,1510-20,632
2020-03-02,24-82323,2020-03-02_24-82323,analyte,Oparad - MPN - GMSMyeloidv1.0,1521-20,455
2020-03-02,24-82323,2020-03-02_24-82323,analyte,Parad - GMSMyeloidv1.0,1527-20,454
2020-03-02,24-82323,2020-03-02_24-82323,analyte,Parad - GMSMyeloidv1.0,1684-20,468
2020-03-02,24-82323,2020-03-02_24-82323,analyte,Oparad - MPN - GMSMyeloidv1.0,1697-20,468
2020-03-02,24-82323,2020-03-02_24-82323,analyte,Oparad - MPN - GMSMyeloidv1.0,1710-20,469
2020-03-02,24-82323,2020-03-02_24-82323,analyte,Oparad - KLL - GMSMyeloidv1.0,1823-20,474
2020-03-02,24-82323,2020-03-02_24-82323,analyte,Parad - GMSMyeloidv1.0,1834-20,471
2020-03-02,24-82323,2020-03-02_24-82323,analyte,Oparad - KLL - GMSMyeloidv1.0,1849-20,487
2020-03-02,24-82323,2020-03-02_24-82323,analyte,Oparad - KLL - GMSMyeloidv1.0,1865-20,445
2020-03-02,24-82323,2020-03-02_24-82323,analyte,Parad - GMSMyeloidv1.0,2619-19-v4,413
2020-03-02,24-82323,2020-03-02_24-82323,analyte,Parad - GMSMyeloidv1.0,408-20,428
2020-03-02,24-82323,2020-03-02_24-82323,analyte,Parad - GMSMyeloidv1.0,422-20-v2,414
2020-03-02,24-82323,2020-03-02_24-82323,analyte,Parad - GMSMyeloidv1.0,1510-20,632
2020-03-02,24-82323,2020-03-02_24-82323,analyte,Oparad - MPN - GMSMyeloidv1.0,1521-20,455
2020-03-02,24-82323,2020-03-02_24-82323,analyte,Parad - GMSMyeloidv1.0,1527-20,454
2020-03-02,24-82323,2020-03-02_24-82323,analyte,Parad - GMSMyeloidv1.0,1684-20,468
2020-03-02,24-82323,2020-03-02_24-82323,analyte,Oparad - MPN - GMSMyeloidv1.0,1697-20,468
